plant	species	class	total	V1	V2	endV1	endV2	start_hetero	end_hetero	zeroV1start	zeroV2start	zeroV1end	zeroV2end
Pfoe5	foetida	D	20	3.787327318	-2.887007174	-8.775817837	11.22905656	1	20	0	0	-12.56314516	14.11606373
Pmis7	misera	A	21	2.413970641	-19.28461806	-13.06239244	-22.87798651	1	21	0	0	-15.47636308	-3.59336845
Prac7	racemosa	F	21	4.983957158	-3.306385693	7.438013141	28.15971232	1	21	0	0	2.454055983	31.46609801
Psid5	sidifolia	E	21	15.33512431	-8.092399216	7.900323392	16.25047009	1	21	0	0	-7.434800918	24.34286931
Ptri7	tricuspis	B	21	-1.374367599	-8.007295824	-19.70307761	-9.939565211	1	21	0	0	-18.32871001	-1.932269387
Pact3	actinia	E	23	2.516465262	-0.886959381	22.82335526	-9.679332422	1	22	0	0	20.30689	-8.792373041
Pmie5	miersii	E	22	12.56198593	-1.352739721	12.88868935	-3.590954923	1	22	0	0	0.32670342	-2.238215202
Prac4	racemosa	F	22	7.714902684	29.15615294	13.37099215	27.69772852	1	22	0	0	5.656089466	-1.45842442
Ptri4	tricuspis	B	22	-2.80064438	-14.49888871	-16.63757446	0.90474205	1	22	0	0	-13.83693008	15.40363076
Ptri5	tricuspis	B	22	9.035683416	-16.82903351	-18.78205075	-11.51453118	1	22	0	0	-27.81773417	5.31450233
Ptri6	tricuspis	B	22	-2.492615699	-2.757268788	-19.67791491	-9.912302387	1	22	0	0	-17.18529921	-7.155033599
Pmuc3	mucronata	G	23	5.399951044	15.42175292	23.7011027	17.20601538	1	23	0	0	18.30115166	1.78426246
Pten4	tenuifila	C	23	-17.96678726	-4.032639092	-18.70752348	5.04667441	1	23	0	0	-0.74073622	9.079313502
Pfoe4	foetida	D	24	2.874920683	12.37625567	-8.717508669	11.05116469	1	24	0	0	-11.59242935	-1.32509098
Pker1	kermesina	C	24	8.363622225	10.2350383	-25.620817	12.90718343	1	24	0	0	-33.98443923	2.67214513
Prac5	racemosa	F	24	6.304366106	28.0628954	25.11621198	1.54898267	1	24	0	0	18.81184587	-26.51391273
Prac6	racemosa	F	24	1.390018908	18.24792235	25.92021916	7.032604833	1	24	0	0	24.53020025	-11.21531752
Pact5	actinia	E	25	8.399369102	8.094679303	29.44805142	-0.592828328	1	25	0	0	21.04868232	-8.687507631
Pmie4	miersii	E	25	3.782126229	28.79825709	15.00080621	5.140225656	1	25	0	0	11.21867998	-23.65803143
Pmis4	misera	A	27	-5.680328764	-21.94752148	-18.30825047	-29.22089588	1	27	0	0	-12.62792171	-7.2733744
Psid6	sidifolia	E	28	9.438586466	5.289850812	-5.944662444	-3.849792156	1	28	0	0	-15.38324891	-9.139642968
Pmol3	mollissima	C	9	-21.05751257	-6.766244939	-24.26306264	4.943265083	2	9	0	0	-3.20555007	11.70951002
Psub1	suberosa	C	9	-11.4281679	2.151997997	-34.41255544	14.61010039	2	9	0	0	-22.98438754	12.45810239
Pcor9	coriacea	A	10	-10.71767815	-30.77343099	-11.14456854	-30.64528636	2	10	0	0	-0.42689039	0.12814463
Plig3	ligularis	F	11	-7.395815456	24.34080368	33.70687652	10.45750344	2	10	0	0	41.10269198	-13.88330024
Pcap1	capsularis	B	11	0.211351943	9.687800185	13.65482254	-24.10723301	2	11	0	0	13.4434706	-33.7950332
Pcor10	coriacea	A	11	-15.41149276	-25.4215941	-13.82845685	-27.44999741	2	11	0	0	1.58303591	-2.02840331
Pcor11	coriacea	A	11	-4.446292964	-10.46275278	-11.70301098	-24.12225088	2	11	0	0	-7.256718016	-13.6594981
Pcor8	coriacea	A	12	-9.189488122	-30.14751933	-12.80773742	-25.80462767	2	12	0	0	-3.618249298	4.34289166
Psid2	sidifolia	E	12	14.9079443	-8.398048347	11.4170575	2.179074812	2	12	0	0	-3.4908868	10.57712316
Pcor4	coriacea	A	13	-17.46192066	-32.05510246	-12.25016028	-31.22725171	2	13	0	0	5.21176038	0.82785075
Pten2	tenuifila	C	13	0.574129517	7.830092804	-12.3613389	20.2623023	2	13	0	0	-12.93546842	12.4322095
Pmie3	miersii	E	14	15.31494523	-1.851097146	12.19868253	10.66198095	2	14	0	0	-3.1162627	12.5130781
Pmis1	misera	A	14	11.47183776	-6.204670492	-14.41785176	-27.27436954	2	14	0	0	-25.88968952	-21.06969905
Pmol4	mollissima	C	14	-19.37496685	-4.364287348	-31.35934805	5.994362907	2	14	0	0	-11.9843812	10.35865026
Pvil4	villosa	F	15	9.195370475	7.563916563	-14.75758632	7.750767259	2	15	0	0	-23.9529568	0.186850696
Pedm5	edmundoi	C	16	-31.70941396	3.717492017	-24.59377314	7.180737367	2	16	0	0	7.11564082	3.46324535
Psub8	suberosa	C	17	-7.602189638	1.158016995	-27.99373124	19.50273317	2	17	0	0	-20.3915416	18.34471618
Pker3	kermesina	C	20	-1.299835566	-7.170701668	-25.55955094	4.244984726	2	20	0	0	-24.25971537	11.41568639
Pmuc5	mucronata	G	20	3.979461546	26.48330989	19.20511366	21.76984319	2	20	0	0	15.22565211	-4.7134667
Pcae2	caerulea	C	21	14.27840871	-1.124723593	-22.04353891	-11.89234549	2	21	0	0	-36.32194762	-10.7676219
Pcap3	capsularis	B	10	11.47508941	-27.13123899	8.969840382	-27.36198534	3	10	0	0	-2.505249028	-0.23074635
Pmic5	micropetala	B	10	-4.681152885	-17.04943037	-0.890587042	-18.25544346	3	10	0	0	3.790565843	-1.20601309
Pmol1	mollissima	C	10	-19.07399427	-4.653626951	-31.86082299	1.894660332	3	10	0	0	-12.78682872	6.548287283
Ppoh1	pohlii	B	11	6.866845844	-25.47645597	8.520632247	-27.01174794	3	11	0	0	1.653786403	-1.53529197
Plig5	ligularis	F	13	31.58903246	17.49390249	33.57761105	10.64005041	3	13	0	0	1.98857859	-6.85385208
Plig7	ligularis	F	13	34.01421683	13.63859452	32.69735987	9.726879387	3	13	0	0	-1.31685696	-3.911715133
Pmin7	miniata	G	13	10.78350281	14.05326659	29.87837414	8.385289776	3	13	0	0	19.09487133	-5.667976814
Pset5	setacea	C	16	-31.03690381	0.834326492	-28.74530984	14.63815337	3	16	0	0	2.29159397	13.80382688
Pfoe6	foetida	D	21	-1.53222015	4.960309587	-8.40240859	10.26012592	3	21	0	0	-6.87018844	5.299816333
Porg3	organensis	B	21	1.929388032	-19.45871684	1.611777059	-21.39676195	3	21	0	0	-0.317610973	-1.93804511
Psid4	sidifolia	E	23	5.42748949	-0.224431729	-6.809616445	-1.006790914	3	22	0	0	-12.23710594	-0.782359185
Pmie7	miersii	E	25	6.77955795	29.8479184	14.90805999	-4.464276912	3	25	0	0	8.12850204	-34.31219531
Plig4	ligularis	F	14	35.59888659	17.10392634	33.53937646	10.63032345	4	14	0	0	-2.05951013	-6.47360289
